ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.mss_val,label
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16381,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,20.88.154.174,37594,443,501,0x0018,,0
20.88.154.174,192.168.4.133,443,37594,501,0x0018,,0
192.168.4.133,20.88.154.174,37594,443,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16382,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16382,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,64240,0x0002,1460.0,0
185.199.109.154,192.168.4.133,443,58438,64240,0x0002,1460.0,0
185.199.108.133,192.168.4.133,443,45374,64240,0x0002,1460.0,0
192.168.4.133,185.199.108.133,45374,443,65535,0x0012,1460.0,0
185.199.108.133,192.168.4.133,443,45374,502,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,502,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,65535,0x0012,1460.0,0
185.199.109.154,192.168.4.133,443,58438,502,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,502,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,65535,0x0012,1436.0,0
140.82.112.3,192.168.4.133,443,52748,502,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,502,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,282,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,496,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,488,0x0010,,0
185.199.108.133,192.168.4.133,443,45374,488,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,282,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,496,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,488,0x0010,,0
185.199.109.154,192.168.4.133,443,58438,488,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,285,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0010,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0018,,0
185.199.108.133,192.168.4.133,443,45374,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,285,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0018,,0
185.199.109.154,192.168.4.133,443,58438,501,0x0018,,0
192.168.4.133,185.199.108.133,45374,443,287,0x0010,,0
192.168.4.133,185.199.109.154,58438,443,287,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,66,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,67,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,434,0x0010,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,496,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,568,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,613,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,657,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
185.199.110.154,192.168.4.133,443,34154,64240,0x0002,1460.0,0
185.199.110.133,192.168.4.133,443,58368,64240,0x0002,1460.0,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,702,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,69,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0010,,0
192.168.4.133,140.82.114.26,47140,443,72,0x0010,,0
192.168.4.133,140.82.114.26,47140,443,72,0x0018,,0
192.168.4.133,185.199.110.154,34154,443,65535,0x0012,1460.0,0
185.199.110.154,192.168.4.133,443,34154,502,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,65535,0x0012,1460.0,0
185.199.110.133,192.168.4.133,443,58368,502,0x0010,,0
185.199.110.154,192.168.4.133,443,34154,502,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,502,0x0018,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0010,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,286,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,282,0x0010,,0
192.168.4.133,185.199.110.154,34154,443,286,0x0010,,0
192.168.4.133,185.199.110.154,34154,443,286,0x0018,,0
185.199.110.154,192.168.4.133,443,34154,501,0x0010,,0
185.199.110.154,192.168.4.133,443,34154,501,0x0018,,0
185.199.110.154,192.168.4.133,443,34154,501,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,286,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0010,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
192.168.4.133,185.199.110.154,34154,443,286,0x0010,,0
192.168.4.133,185.199.110.154,34154,443,288,0x0010,,0
192.168.4.133,185.199.110.154,34154,443,288,0x0018,,0
185.199.110.154,192.168.4.133,443,34154,501,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,286,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,288,0x0010,,0
192.168.4.133,140.82.114.26,47140,443,72,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,288,0x0018,,0
192.168.4.133,140.82.114.26,47140,443,72,0x0018,,0
192.168.4.133,140.82.114.26,47140,443,72,0x0011,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0010,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0010,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0018,,0
140.82.114.26,192.168.4.133,443,47140,501,0x0011,,0
192.168.4.133,185.199.110.154,34154,443,288,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,288,0x0010,,0
192.168.4.133,140.82.114.26,47140,443,0,0x0004,,0
192.168.4.133,140.82.114.26,47140,443,0,0x0004,,0
185.199.110.154,192.168.4.133,443,34158,64240,0x0002,1460.0,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,501,0x0018,,0
192.168.4.133,185.199.110.154,34158,443,65535,0x0012,1460.0,0
185.199.110.154,192.168.4.133,443,34158,502,0x0010,,0
185.199.110.154,192.168.4.133,443,34158,502,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,290,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,290,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,496,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,293,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,293,0x0010,,0
192.168.4.133,185.199.110.154,34158,443,286,0x0010,,0
192.168.4.133,185.199.110.154,34158,443,286,0x0018,,0
192.168.4.133,185.199.110.154,34158,443,286,0x0010,,0
185.199.110.154,192.168.4.133,443,34158,501,0x0010,,0
185.199.110.154,192.168.4.133,443,34158,501,0x0018,,0
185.199.110.154,192.168.4.133,443,34158,501,0x0018,,0
192.168.4.133,185.199.110.154,34158,443,286,0x0010,,0
192.168.4.133,185.199.110.154,34158,443,288,0x0010,,0
192.168.4.133,185.199.110.154,34158,443,288,0x0018,,0
185.199.110.154,192.168.4.133,443,34158,501,0x0018,,0
192.168.4.133,185.199.110.133,58368,443,293,0x0018,,0
192.168.4.133,185.199.110.154,34158,443,288,0x0010,,0
192.168.4.133,185.199.110.133,58368,443,293,0x0018,,0
185.199.110.133,192.168.4.133,443,58368,500,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,703,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,64240,0x0002,1460.0,0
192.168.4.133,140.82.112.3,52748,443,72,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,74,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,76,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,78,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,81,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,83,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0010,,0
192.168.4.133,140.82.113.22,46048,443,65535,0x0012,1436.0,0
140.82.113.22,192.168.4.133,443,46048,502,0x0010,,0
140.82.113.22,192.168.4.133,443,46048,502,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,64240,0x0002,1460.0,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,764,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,826,0x0010,,0
140.82.114.26,192.168.4.133,443,47966,64240,0x0002,1460.0,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,937,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1023,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1085,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1148,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,1148,0x0018,,0
192.168.4.133,140.82.113.22,46048,443,66,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,65535,0x0012,1436.0,0
140.82.114.6,192.168.4.133,443,44448,502,0x0010,,0
192.168.4.133,140.82.113.22,46048,443,66,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,489,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,502,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0018,,0
192.168.4.133,140.82.114.26,47966,443,65535,0x0012,1436.0,0
140.82.114.26,192.168.4.133,443,47966,502,0x0010,,0
140.82.114.26,192.168.4.133,443,47966,502,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,66,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,496,0x0010,,0
192.168.4.133,140.82.113.22,46048,443,66,0x0018,,0
192.168.4.133,140.82.113.22,46048,443,66,0x0018,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0010,,0
192.168.4.133,140.82.113.22,46048,443,69,0x0018,,0
192.168.4.133,140.82.113.22,46048,443,68,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,66,0x0010,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0018,,0
192.168.4.133,140.82.113.22,46048,443,69,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.26,47966,443,66,0x0010,,0
192.168.4.133,140.82.114.26,47966,443,66,0x0018,,0
140.82.114.26,192.168.4.133,443,47966,496,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0010,,0
140.82.114.26,192.168.4.133,443,47966,501,0x0018,,0
140.82.114.26,192.168.4.133,443,47966,501,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1210,0x0010,,0
140.82.113.22,192.168.4.133,443,46048,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,68,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,70,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,79,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,70,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,79,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,84,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,87,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.26,47966,443,66,0x0018,,0
192.168.4.133,140.82.114.26,47966,443,66,0x0018,,0
140.82.114.26,192.168.4.133,443,47966,501,0x0010,,0
192.168.4.133,140.82.114.26,47966,443,68,0x0018,,0
140.82.114.26,192.168.4.133,443,47966,501,0x0018,,0
192.168.4.133,140.82.113.22,46048,443,69,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,90,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,93,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,95,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,98,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,104,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,104,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,109,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,132,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,115,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,121,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,126,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,132,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,137,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,143,0x0010,,0
192.168.4.133,140.82.114.26,47966,443,70,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,148,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,155,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,155,0x0010,,0
140.82.114.26,192.168.4.133,443,47966,501,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1239,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1206,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,1169,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1255,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0010,,0
140.82.112.3,192.168.4.133,443,52748,1169,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1247,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1169,0x0010,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
192.168.4.133,140.82.112.3,52748,443,85,0x0018,,0
140.82.112.3,192.168.4.133,443,52748,1115,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,155,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,158,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,158,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,158,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0018,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0010,,0
192.168.4.133,51.11.192.48,60808,443,16386,0x0018,,0
51.11.192.48,192.168.4.133,443,60808,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,161,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,161,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.4.133,140.82.114.6,44448,443,164,0x0018,,0
140.82.114.6,192.168.4.133,443,44448,501,0x0010,,0
192.168.2.15,192.168.2.23,5555,33360,1024,0x0002,,1
192.168.2.23,192.168.2.15,33360,5555,42340,0x0012,,1
192.168.2.15,192.168.2.23,5555,33360,0,0x0004,,1
